"","cap.shape","cap.surface","cap.color","bruises.","odor","gill.attachment","gill.spacing","gill.size","gill.color","stalk.shape","stalk.root","stalk.surface.above.","stalk.surface.below.","stalk.color.above.ri","stalk.color.below.ri","veil.type","veil.color","ring.number","ring.type","spore.print.color","population","habitat","classe","echantillon"
"5773","x","y","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d","e","base"
"5775","x","y","n","f","s","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","d","p","base"
"5777","x","s","w","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","n","m","e","base"
"5778","f","f","g","f","f","f","c","b","g","e","b","k","k","p","p","p","w","o","l","h","v","d","p","base"
"5779","f","f","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","k","v","d","e","base"
"5780","x","f","g","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","k","y","d","e","base"
"5782","x","y","e","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","l","p","base"
"5784","f","f","e","t","n","f","c","b","n","t","b","s","s","p","w","p","w","o","p","k","y","d","e","base"
"5785","x","s","n","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d","p","base"
"5786","x","y","n","f","y","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","l","p","base"
"5788","f","f","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","v","d","e","base"
"5789","x","y","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p","p","base"
"5792","f","y","n","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","v","d","e","base"
"5793","x","y","e","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","y","d","e","base"
"5794","x","f","n","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"5795","x","y","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","g","p","base"
"5796","x","y","g","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","y","d","e","base"
"5797","x","s","b","t","f","f","c","b","w","t","b","f","f","w","w","p","w","o","p","h","v","g","p","base"
"5798","f","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","k","y","d","e","base"
"5799","f","y","n","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p","p","base"
"5800","x","y","e","t","n","f","c","b","p","t","b","s","s","p","g","p","w","o","p","n","v","d","e","base"
"5802","f","y","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","d","p","base"
"5803","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m","e","base"
"5806","f","f","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","d","e","base"
"5807","x","f","e","t","n","f","c","b","w","t","b","s","s","g","p","p","w","o","p","k","y","d","e","base"
"5809","f","s","e","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","l","p","base"
"5812","x","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","p","p","base"
"5813","x","f","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","n","y","d","e","base"
"5814","x","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","v","g","p","base"
"5815","f","f","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","d","e","base"
"5816","k","y","n","f","y","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p","p","base"
"5817","f","y","g","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"5818","f","y","e","f","y","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p","p","base"
"5820","f","s","g","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","k","s","g","e","base"
"5821","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","g","e","base"
"5822","x","s","w","f","n","f","w","b","w","e","?","k","k","w","w","p","w","t","p","w","s","g","e","base"
"5823","f","y","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","n","y","d","e","base"
"5824","f","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","s","g","p","base"
"5825","f","f","w","f","n","f","w","b","h","t","e","s","f","w","w","p","w","o","e","n","s","g","e","base"
"5826","f","f","n","t","n","f","c","b","n","t","b","s","s","p","g","p","w","o","p","n","y","d","e","base"
"5829","x","s","n","f","n","a","c","b","n","e","?","s","s","o","o","p","n","o","p","n","v","l","e","base"
"5830","k","s","n","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","l","p","base"
"5831","x","f","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","v","d","e","base"
"5832","f","y","e","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d","e","base"
"5833","k","s","e","f","s","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","l","p","base"
"5835","f","y","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","k","y","d","e","base"
"5836","x","y","e","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","v","d","e","base"
"5837","x","f","e","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d","e","base"
"5838","x","s","w","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","n","s","g","e","base"
"5839","f","y","b","t","n","f","c","b","r","e","b","s","s","w","w","p","w","t","p","r","v","m","p","base"
"5840","f","f","g","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","v","g","p","base"
"5841","k","s","e","f","f","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","l","p","base"
"5843","f","s","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u","p","base"
"5844","x","f","w","f","c","f","c","n","n","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"5845","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u","p","base"
"5848","k","s","e","f","y","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p","p","base"
"5850","b","y","y","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m","e","base"
"5851","x","f","g","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d","e","base"
"5852","x","s","b","t","f","f","c","b","h","t","b","f","s","w","w","p","w","o","p","h","s","g","p","base"
"5853","s","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","v","u","e","base"
"5855","f","s","w","t","f","f","c","b","p","t","b","s","s","w","w","p","w","o","p","h","s","g","p","base"
"5856","x","f","g","f","n","f","w","b","h","t","e","f","s","w","w","p","w","o","e","k","a","g","e","base"
"5857","f","y","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d","e","base"
"5858","b","y","w","t","n","f","c","b","r","e","b","s","s","w","w","p","w","t","p","r","v","g","p","base"
"5859","k","y","n","f","s","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","d","p","base"
"5860","x","y","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","p","p","base"
"5861","k","s","n","f","y","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","l","p","base"
"5862","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"5863","f","f","n","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"5865","x","y","n","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","s","g","e","base"
"5866","f","y","g","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","n","y","d","e","base"
"5867","f","y","y","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g","p","base"
"5868","f","s","e","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p","p","base"
"5870","x","s","g","t","f","f","c","b","w","t","b","f","s","w","w","p","w","o","p","h","s","u","p","base"
"5871","f","s","n","f","n","f","w","b","n","t","e","f","f","w","w","p","w","o","e","k","a","g","e","base"
"5872","f","y","g","t","n","f","c","b","p","t","b","s","s","g","w","p","w","o","p","n","v","d","e","base"
"5876","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g","e","base"
"5877","f","s","g","t","n","f","c","b","w","e","b","s","s","w","w","p","w","t","p","w","y","p","e","base"
"5878","x","y","n","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","l","p","base"
"5879","b","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"5880","f","y","n","t","n","f","c","b","u","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"5881","x","s","e","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","l","p","base"
"5883","x","f","g","f","f","f","c","b","g","e","b","k","k","n","n","p","w","o","l","h","v","g","p","base"
"5885","x","s","n","f","n","f","w","b","k","t","e","f","f","w","w","p","w","o","e","k","s","g","e","base"
"5886","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"5887","f","y","e","f","f","f","c","n","b","t","?","k","s","p","p","p","w","o","e","w","v","l","p","base"
"5888","f","y","g","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","v","d","e","base"
"5889","f","f","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"5890","f","f","g","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","v","d","e","base"
"5894","x","s","e","f","f","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p","p","base"
"5895","x","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","o","o","p","y","c","l","e","base"
"5896","k","s","n","f","n","a","c","b","y","e","?","s","s","o","o","p","o","o","p","o","c","l","e","base"
"5897","f","y","e","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","p","p","base"
"5898","f","f","y","f","f","f","c","b","g","e","b","k","k","b","b","p","w","o","l","h","v","g","p","base"
"5899","f","f","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","v","g","p","base"
"5901","x","f","g","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","v","d","e","base"
"5902","f","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","g","p","base"
"5903","x","f","y","t","a","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"5904","x","s","w","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","n","s","g","e","base"
"5905","f","y","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","g","p","base"
"5907","x","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","v","d","p","base"
"5908","f","f","y","f","f","f","c","b","g","e","b","k","k","b","p","p","w","o","l","h","y","g","p","base"
"5909","x","f","p","f","c","f","c","n","g","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"5910","k","s","e","f","y","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d","p","base"
"5911","x","f","g","f","n","f","w","b","w","e","?","k","k","w","w","p","w","t","p","w","n","g","e","base"
"5913","x","f","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","d","p","base"
"5914","k","s","n","f","n","a","c","b","o","e","?","s","s","o","o","p","n","o","p","y","v","l","e","base"
"5916","x","y","y","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","d","p","base"
"5918","x","f","n","t","n","f","c","b","p","t","b","s","s","w","w","p","w","o","p","k","y","d","e","base"
"5919","x","f","g","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","n","a","g","e","base"
"5920","f","y","n","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","d","e","base"
"5921","f","y","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","g","p","base"
"5922","x","s","e","f","y","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p","p","base"
"5923","f","f","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","v","d","e","base"
"5925","f","y","n","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p","p","base"
"5926","f","y","n","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","y","d","e","base"
"5929","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g","e","base"
"5930","x","s","e","f","s","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d","p","base"
"5931","f","s","b","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","v","g","p","base"
"5932","f","f","y","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","p","p","base"
"5933","x","s","e","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p","p","base"
"5934","k","s","e","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","d","p","base"
"5935","f","s","n","f","n","f","w","b","p","t","e","f","s","w","w","p","w","o","e","n","s","g","e","base"
"5936","x","s","e","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","d","p","base"
"5938","x","s","n","f","f","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","l","p","base"
"5939","x","s","n","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","l","p","base"
"5940","x","s","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g","e","base"
"5941","x","s","g","f","n","f","w","b","g","e","?","k","k","w","w","p","w","t","p","w","n","g","e","base"
"5942","x","y","e","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"5944","f","f","g","f","f","f","c","b","p","e","b","k","k","p","n","p","w","o","l","h","y","d","p","base"
"5945","x","f","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","k","y","d","e","base"
"5946","x","f","g","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","k","v","d","e","base"
"5947","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","g","e","base"
"5948","b","f","w","f","n","f","w","b","w","e","?","k","s","w","w","p","w","t","p","w","s","g","e","base"
"5949","x","f","n","t","n","f","c","b","u","t","b","s","s","p","g","p","w","o","p","k","y","d","e","base"
"5951","f","f","n","t","n","f","c","b","u","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"5952","x","y","g","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","d","e","base"
"5953","x","f","n","t","n","f","c","b","p","t","b","s","s","g","p","p","w","o","p","n","v","d","e","base"
"5954","f","y","g","t","n","f","c","b","u","t","b","s","s","p","p","p","w","o","p","k","y","d","e","base"
"5956","x","s","n","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","p","p","base"
"5959","x","y","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g","e","base"
"5961","f","y","n","t","n","f","c","b","e","e","?","s","s","e","w","p","w","t","e","w","c","w","e","base"
"5962","f","f","y","f","f","f","c","b","p","e","b","k","k","b","p","p","w","o","l","h","v","g","p","base"
"5963","f","f","g","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"5964","x","y","n","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","d","p","base"
"5965","x","s","g","f","n","f","w","b","p","t","e","f","f","w","w","p","w","o","e","k","a","g","e","base"
"5968","f","s","b","t","f","f","c","b","h","t","b","s","s","w","w","p","w","o","p","h","v","u","p","base"
"5969","x","f","g","f","c","f","w","n","p","e","b","s","s","w","w","p","w","o","p","k","s","d","p","base"
"5970","f","y","n","t","n","f","c","b","w","t","b","s","s","g","w","p","w","o","p","k","v","d","e","base"
"5971","f","f","w","f","n","f","w","b","k","t","e","s","f","w","w","p","w","o","e","k","s","g","e","base"
"5972","x","s","p","f","c","f","w","n","u","e","b","s","s","w","w","p","w","o","p","n","s","d","p","base"
"5975","f","y","e","f","f","f","c","n","b","t","?","k","k","w","p","p","w","o","e","w","v","l","p","base"
"5976","k","y","n","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","l","p","base"
"5978","x","y","n","f","s","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p","p","base"
"5980","c","y","w","t","n","f","w","n","w","e","b","s","s","w","w","p","w","o","p","w","c","l","p","base"
"5982","f","y","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","g","p","base"
"5983","x","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"5984","f","f","y","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","g","p","base"
"5985","b","s","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","g","e","base"
"5987","x","y","n","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","v","d","e","base"
"5988","f","y","n","t","n","f","c","b","w","t","b","s","s","p","w","p","w","o","p","n","y","d","e","base"
"5989","x","y","n","f","f","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","l","p","base"
"5990","f","y","e","t","n","f","c","b","u","t","b","s","s","g","w","p","w","o","p","n","v","d","e","base"
"5992","k","y","e","f","f","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","d","p","base"
"5993","f","s","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","s","g","e","base"
"5995","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","g","e","base"
"5996","x","s","e","f","f","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p","p","base"
"5998","x","y","n","t","n","f","c","b","n","t","b","s","s","w","g","p","w","o","p","k","y","d","e","base"
"5999","k","s","w","f","n","f","w","b","w","e","?","s","k","w","w","p","w","t","p","w","n","g","e","base"
"6003","f","y","e","f","f","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","l","p","base"
"6004","x","f","e","t","n","f","c","b","n","t","b","s","s","g","g","p","w","o","p","k","v","d","e","base"
"6005","x","y","e","f","y","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","d","p","base"
"6006","x","y","n","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","g","p","base"
"6007","x","y","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","s","m","e","base"
"6008","x","f","n","t","n","f","c","b","p","t","b","s","s","w","g","p","w","o","p","n","v","d","e","base"
"6009","f","y","g","f","f","f","c","b","p","e","b","k","k","n","n","p","w","o","l","h","y","g","p","base"
"6011","x","s","e","f","s","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","l","p","base"
"6012","f","f","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","g","p","base"
"6013","k","y","n","f","y","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","p","p","base"
"6014","x","f","w","f","n","f","w","b","p","t","e","s","f","w","w","p","w","o","e","n","s","g","e","base"
"6017","f","f","n","t","n","f","c","b","p","t","b","s","s","p","p","p","w","o","p","k","y","d","e","base"
"6018","b","s","g","f","n","f","w","b","w","e","?","s","s","w","w","p","w","t","p","w","s","g","e","base"
"6019","f","f","e","t","n","f","c","b","n","t","b","s","s","g","w","p","w","o","p","k","y","d","e","base"
"6020","x","s","b","t","n","f","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","w","e","base"
"6023","k","s","e","f","f","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","p","p","base"
"6025","f","f","n","t","n","f","c","b","u","t","b","s","s","p","w","p","w","o","p","n","y","d","e","base"
"6026","x","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","v","p","p","base"
"6027","k","y","n","f","n","f","w","n","w","e","b","f","f","w","n","p","w","o","e","w","v","l","e","base"
"6028","x","f","n","f","n","f","w","b","p","t","e","s","s","w","w","p","w","o","e","k","s","g","e","base"
"6029","f","s","e","f","s","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","l","p","base"
"6030","f","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","p","p","base"
"6032","x","y","n","f","s","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","l","p","base"
"6033","x","y","g","f","f","f","c","b","p","e","b","k","k","b","b","p","w","o","l","h","y","d","p","base"
"6034","f","s","e","t","n","f","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","w","e","base"
"6035","x","f","g","t","n","f","c","b","n","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"6039","k","y","e","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","d","p","base"
"6041","f","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"6043","k","s","n","f","s","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","l","p","base"
"6045","x","y","e","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","d","p","base"
"6047","k","y","e","f","s","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","p","p","base"
"6048","f","f","g","f","f","f","c","b","p","e","b","k","k","b","n","p","w","o","l","h","v","d","p","base"
"6049","f","s","n","f","f","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","p","p","base"
"6050","f","f","n","t","n","f","c","b","w","t","b","s","s","w","p","p","w","o","p","n","v","d","e","base"
"6051","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","k","a","g","e","base"
"6052","x","f","e","t","n","f","c","b","u","t","b","s","s","g","p","p","w","o","p","n","y","d","e","base"
"6054","f","y","y","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p","p","base"
"6055","x","s","n","f","s","f","c","n","b","t","?","s","k","w","w","p","w","o","e","w","v","l","p","base"
"6056","f","y","n","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g","e","base"
"6057","f","s","e","f","y","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p","p","base"
"6058","f","f","e","t","n","f","c","b","w","t","b","s","s","g","g","p","w","o","p","n","v","d","e","base"
"6059","f","f","g","t","n","f","c","b","w","t","b","s","s","w","w","p","w","o","p","k","v","d","e","base"
"6060","x","y","e","t","n","f","c","b","n","t","b","s","s","g","p","p","w","o","p","k","v","d","e","base"
"6061","k","y","n","f","s","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","p","p","base"
"6062","x","s","n","f","n","a","c","b","n","e","?","s","s","o","o","p","n","o","p","o","v","l","e","base"
"6063","f","s","w","t","f","f","c","b","p","t","b","s","f","w","w","p","w","o","p","h","s","g","p","base"
"6064","x","s","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","k","v","u","p","base"
"6065","f","s","e","f","f","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","d","p","base"
"6066","x","s","w","t","f","f","c","b","h","t","b","f","f","w","w","p","w","o","p","h","v","u","p","base"
"6067","k","s","n","f","y","f","c","n","b","t","?","s","s","w","w","p","w","o","e","w","v","p","p","base"
"6068","f","s","p","t","n","f","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","w","e","base"
"6070","f","y","n","f","y","f","c","n","b","t","?","k","s","p","w","p","w","o","e","w","v","d","p","base"
"6071","x","s","b","t","f","f","c","b","w","t","b","s","s","w","w","p","w","o","p","h","s","u","p","base"
"6072","f","f","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","u","v","d","e","base"
"6073","x","s","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","k","s","g","e","base"
"6074","f","f","w","t","l","f","w","n","n","t","b","s","s","w","w","p","w","o","p","n","v","d","e","base"
"6076","f","s","n","f","s","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","d","p","base"
"6077","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g","e","base"
"6078","x","f","w","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g","e","base"
"6079","x","s","n","t","n","f","c","b","w","e","?","s","s","e","e","p","w","t","e","w","c","w","e","base"
"6080","x","f","y","f","f","f","c","b","p","e","b","k","k","p","p","p","w","o","l","h","y","d","p","base"
"6081","f","y","g","f","f","f","c","b","h","e","b","k","k","b","b","p","w","o","l","h","y","p","p","base"
"6082","f","y","n","f","f","f","c","n","b","t","?","k","k","w","w","p","w","o","e","w","v","l","p","base"
"6083","f","f","e","t","n","f","c","b","w","t","b","s","s","w","g","p","w","o","p","n","y","d","e","base"
"6084","f","y","y","f","f","f","c","b","h","e","b","k","k","b","p","p","w","o","l","h","y","d","p","base"
"6085","k","y","n","f","f","f","c","n","b","t","?","s","k","p","w","p","w","o","e","w","v","p","p","base"
"6086","x","s","g","t","f","f","c","b","w","t","b","s","f","w","w","p","w","o","p","h","v","u","p","base"
"6087","f","f","g","f","f","f","c","b","h","e","b","k","k","p","b","p","w","o","l","h","y","d","p","base"
"6088","k","y","e","f","f","f","c","n","b","t","?","k","k","p","p","p","w","o","e","w","v","d","p","base"
"6089","f","s","e","f","f","f","c","n","b","t","?","k","s","w","w","p","w","o","e","w","v","l","p","base"
"6090","f","f","g","f","f","f","c","b","h","e","b","k","k","p","p","p","w","o","l","h","y","g","p","base"
"6091","x","f","g","f","f","f","c","b","g","e","b","k","k","p","n","p","w","o","l","h","v","g","p","base"
"6093","x","s","n","f","f","f","c","n","b","t","?","s","s","p","p","p","w","o","e","w","v","d","p","base"
"6094","x","y","w","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m","e","base"
"6095","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","y","g","e","base"
"6096","k","s","n","f","s","f","c","n","b","t","?","s","k","p","p","p","w","o","e","w","v","p","p","base"
"6098","f","s","e","f","f","f","c","n","b","t","?","s","k","w","p","p","w","o","e","w","v","l","p","base"
"6099","x","f","e","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d","e","base"
"6100","x","s","g","f","n","f","w","b","w","e","?","k","s","w","w","p","w","t","p","w","s","g","e","base"
"6101","k","y","n","f","y","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","d","p","base"
"6102","x","y","b","t","n","f","c","b","w","e","?","s","s","w","w","p","w","t","e","w","c","w","e","base"
"6104","x","y","y","t","a","f","c","b","p","e","r","s","y","w","w","p","w","o","p","k","s","g","e","base"
"6105","k","y","e","f","y","f","c","n","b","t","?","s","s","p","w","p","w","o","e","w","v","l","p","base"
"6106","x","f","e","t","n","f","c","b","p","t","b","s","s","g","g","p","w","o","p","k","y","d","e","base"
"6107","f","f","g","f","n","f","w","b","n","t","e","f","s","w","w","p","w","o","e","n","a","g","e","base"
"6108","f","y","n","f","f","f","c","n","b","t","?","s","s","w","p","p","w","o","e","w","v","p","p","base"
"6109","x","y","g","f","f","f","c","b","g","e","b","k","k","n","b","p","w","o","l","h","v","p","p","base"
"6110","f","s","e","f","s","f","c","n","b","t","?","k","s","w","p","p","w","o","e","w","v","p","p","base"
"6112","f","y","c","f","m","a","c","b","w","e","c","k","y","c","c","p","w","n","n","w","c","d","p","base"
"6113","x","f","n","t","n","f","c","b","w","t","b","s","s","p","g","p","w","o","p","n","y","d","e","base"
"6114","f","y","g","f","f","f","c","b","g","e","b","k","k","p","b","p","w","o","l","h","y","d","p","base"
"6115","f","y","e","f","f","f","c","n","b","t","?","k","k","p","w","p","w","o","e","w","v","d","p","base"
